S_No,Year,Season,State_UT,District,Block_Taluka,Station_Location,Longitude,Latitude,pH,EC_uS_cm,TDS_mg_L,Cl_mg_L,NO3_mg_L,SO4_mg_L,F_mg_L,Total_Hardness_mg_L,Fe_mg_L,As_ppb,U_ppb,Mn_mg_L,Cu_mg_L,Pb_mg_L,Zn_mg_L,Ni_mg_L,Cd_mg_L,Cr_mg_L,Data_Source,Data_Type
30,2024,Pre-Monsoon,Andhra Pradesh,Alluri,Sita,Rama Raju Addatigala Veerbhadrapuram-DW13,82.0753,17.4406,7.25,1012.0,634.0,69.0,6.0,76.0,0.02,334.0,,,,,,,,,,,CGWB Ground Water Quality Data (2024),REAL_MEASURED
31,2024,Pre-Monsoon,Andhra Pradesh,Alluri,Sita,Rama Raju Anantagiri Sunkarametta-DW13,82.9722,18.2711,7.03,339.0,210.0,16.0,57.0,3.0,0.01,132.0,,,,,,,,,,,CGWB Ground Water Quality Data (2024),REAL_MEASURED
32,2024,Pre-Monsoon,Andhra Pradesh,Alluri,Sita,Rama Raju Chintur Chirevalli,81.0856,17.5946,7.37,2480.0,1130.0,318.0,48.0,122.0,0.74,623.0,,,,,,,,,,,CGWB Ground Water Quality Data (2024),REAL_MEASURED
33,2024,Pre-Monsoon,Andhra Pradesh,Alluri,Sita,Rama Raju Chintur Edugarallapalli,81.1783,17.7427,8.03,1930.0,1252.0,128.0,48.0,64.0,1.67,137.0,,,,,,,,,,,CGWB Ground Water Quality Data (2024),REAL_MEASURED
34,2024,Pre-Monsoon,Andhra Pradesh,Alluri,Sita,Rama Raju Gangavaram Jaderu-DW14,81.9303,17.5253,7.7,914.0,536.0,25.0,3.0,19.0,0.1,241.0,,,,,,,,,,,CGWB Ground Water Quality Data (2024),REAL_MEASURED
35,2024,Pre-Monsoon,Andhra Pradesh,Alluri,Sita,Rama Raju Nellipaka Lakshmipuram,81.0484,17.7197,7.63,1760.0,1069.0,125.0,64.0,48.0,0.6,452.0,,,,,,,,,,,CGWB Ground Water Quality Data (2024),REAL_MEASURED
36,2024,Pre-Monsoon,Andhra Pradesh,Alluri,Sita,Rama Raju Paderu Vontlamamidi-DW13,82.8192,17.9828,7.21,154.0,76.0,7.0,0.0,4.0,0.01,43.0,,,,,,,,,,,CGWB Ground Water Quality Data (2024),REAL_MEASURED
37,2024,Pre-Monsoon,Andhra Pradesh,Alluri,Sita,Rama Raju Peddabayalu Peddabayalu,82.5898,18.2878,7.14,362.0,193.0,36.0,45.0,2.0,0.01,121.0,,,,,,,,,,,CGWB Ground Water Quality Data (2024),REAL_MEASURED
38,2024,Pre-Monsoon,Andhra Pradesh,Alluri,Sita,Rama Raju Rajahmundry(U) Rajmundry Swarajyanagar 2013DW,81.7778,16.9997,7.48,1201.0,791.0,96.0,18.0,73.0,0.01,426.0,,,,,,,,,,,CGWB Ground Water Quality Data (2024),REAL_MEASURED
39,2024,Pre-Monsoon,Andhra Pradesh,Alluri,Sita,Rama Raju Rajavommangi Lagarai-DW14,82.1956,17.5761,7.71,618.0,370.0,39.0,62.0,43.0,0.01,161.0,,,,,,,,,,,CGWB Ground Water Quality Data (2024),REAL_MEASURED
40,2024,Pre-Monsoon,Andhra Pradesh,Alluri,Sita,Rama Raju Rampachodavaram Folkspeta-DW13,81.8397,17.305,7.35,1555.0,958.0,94.0,36.0,90.0,0.1,606.0,,,,,,,,,,,CGWB Ground Water Quality Data (2024),REAL_MEASURED
41,2024,Pre-Monsoon,Andhra Pradesh,Alluri,Sita,Rama Raju Rampachodavaram Rampachodavaram,81.7777,17.4388,7.12,752.0,407.0,76.0,65.0,27.0,0.01,244.0,,,,,,,,,,,CGWB Ground Water Quality Data (2024),REAL_MEASURED
42,2024,Pre-Monsoon,Andhra Pradesh,Alluri,Sita,Rama Raju Rampachodavaram Sitapalli,81.8333,17.3558,7.5,765.0,438.0,57.0,3.0,4.0,0.01,207.0,,,,,,,,,,,CGWB Ground Water Quality Data (2024),REAL_MEASURED
43,2024,Pre-Monsoon,Andhra Pradesh,Alluri,Sita,Rama Raju Y.Ramavaram Chaviti Tibalu-DW14,81.9856,17.6269,7.0,1178.0,752.0,124.0,103.0,76.0,0.02,426.0,,,,,,,,,,,CGWB Ground Water Quality Data (2024),REAL_MEASURED
44,2024,Pre-Monsoon,Andhra Pradesh,Anakapalli,Actchutpuram,Pudimadaka,83.0114,17.5082,7.2,1086.0,713.0,97.0,21.0,43.0,0.9,224.0,,,,,,,,,,,CGWB Ground Water Quality Data (2024),REAL_MEASURED
45,2024,Pre-Monsoon,Andhra Pradesh,Anakapalli,ANAKAPALLE,Anakapalli,83.0,17.6947,7.39,3780.0,2130.0,615.0,24.0,301.0,1.35,713.0,,,,,,,,,,,CGWB Ground Water Quality Data (2024),REAL_MEASURED
46,2024,Pre-Monsoon,Andhra Pradesh,Anakapalli,KOTAURATLA,Kotauratla,82.6917,17.5592,7.63,1390.0,938.0,145.0,43.0,93.0,1.09,329.0,,,,,,,,,,,CGWB Ground Water Quality Data (2024),REAL_MEASURED
47,2024,Pre-Monsoon,Andhra Pradesh,Anakapalli,Munagapaka,Pudimadaka,83.0403,17.6422,6.85,1379.0,932.0,180.0,59.0,91.0,0.42,281.0,,,,,,,,,,,CGWB Ground Water Quality Data (2024),REAL_MEASURED
48,2024,Pre-Monsoon,Andhra Pradesh,Anakapalli,RAVIKAMATAM,Kottakota-DW13,82.7,17.7625,7.85,2980.0,1758.0,412.0,5.0,116.0,2.35,355.0,,,,,,,,,,,CGWB Ground Water Quality Data (2024),REAL_MEASURED
49,2024,Pre-Monsoon,Andhra Pradesh,Anakapalli,RAVIKAMATAM,Medivoda,82.7847,17.7794,7.66,919.0,507.0,69.0,52.0,29.0,0.67,328.0,,,,,,,,,,,CGWB Ground Water Quality Data (2024),REAL_MEASURED
50,2024,Pre-Monsoon,Andhra Pradesh,Anakapalli,ROLUGUNTA,Rolugunta1,82.6667,17.7117,7.81,737.0,378.0,35.0,15.0,25.0,2.29,155.0,,,,,,,,,,,CGWB Ground Water Quality Data (2024),REAL_MEASURED
51,2024,Pre-Monsoon,Andhra Pradesh,Anakapalli,S.RAYAVARAM,Addaroddu,82.7472,17.4236,7.33,3061.0,1809.0,576.0,3.0,163.0,1.13,440.0,,,,,,,,,,,CGWB Ground Water Quality Data (2024),REAL_MEASURED
