record_id,state,district,block_taluka,station_location,longitude,latitude,year,month,season,ph,ec_us_cm,tds_mg_l,cl_mg_l,no3_mg_l,so4_mg_l,f_mg_l,total_hardness_mg_l,fe_mg_l,as_ppb,u_ppb,rainfall_mm,rainfall_source,rainfall_year,health_value,health_indicator,health_source,health_year,water_source,water_year,data_availability_status,data_type,rainfall_anomaly,rainfall_change,anomaly_score,abnormal_pattern_flag,risk_score,health_risk_component,water_risk_component,env_risk_component,hist_risk_component,vuln_risk_component,abnormal_risk_component,risk_class
REAL_WQ_30,Andhra Pradesh,Alluri,Sita,Rama Raju Addatigala Veerbhadrapuram-DW13,82.0753,17.4406,2024,Pre-Monsoon,Pre-Monsoon,7.25,1012.0,634.0,69.0,6.0,76.0,0.02,334.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.11,0,26.2,0.33,0.02,0.48,0.25,0.35,0.07,LOW
REAL_WQ_31,Andhra Pradesh,Alluri,Sita,Rama Raju Anantagiri Sunkarametta-DW13,82.9722,18.2711,2024,Pre-Monsoon,Pre-Monsoon,7.03,339.0,210.0,16.0,57.0,3.0,0.01,132.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.037,0,27.9,0.33,0.05,0.48,0.25,0.35,0.24,LOW
REAL_WQ_32,Andhra Pradesh,Alluri,Sita,Rama Raju Chintur Chirevalli,81.0856,17.5946,2024,Pre-Monsoon,Pre-Monsoon,7.37,2480.0,1130.0,318.0,48.0,122.0,0.74,623.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.073,0,29.0,0.33,0.12,0.48,0.25,0.35,0.16,LOW
REAL_WQ_33,Andhra Pradesh,Alluri,Sita,Rama Raju Chintur Edugarallapalli,81.1783,17.7427,2024,Pre-Monsoon,Pre-Monsoon,8.03,1930.0,1252.0,128.0,48.0,64.0,1.67,137.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,0.007,1,31.0,0.33,0.16,0.48,0.25,0.35,0.35,MODERATE
REAL_WQ_34,Andhra Pradesh,Alluri,Sita,Rama Raju Gangavaram Jaderu-DW14,81.9303,17.5253,2024,Pre-Monsoon,Pre-Monsoon,7.7,914.0,536.0,25.0,3.0,19.0,0.1,241.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.112,0,25.8,0.33,0.01,0.48,0.25,0.35,0.07,LOW
REAL_WQ_35,Andhra Pradesh,Alluri,Sita,Rama Raju Nellipaka Lakshmipuram,81.0484,17.7197,2024,Pre-Monsoon,Pre-Monsoon,7.63,1760.0,1069.0,125.0,64.0,48.0,0.6,452.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.079,0,30.5,0.33,0.18,0.48,0.25,0.35,0.15,MODERATE
REAL_WQ_36,Andhra Pradesh,Alluri,Sita,Rama Raju Paderu Vontlamamidi-DW13,82.8192,17.9828,2024,Pre-Monsoon,Pre-Monsoon,7.21,154.0,76.0,7.0,0.0,4.0,0.01,43.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.1,0,25.7,0.33,0.0,0.48,0.25,0.35,0.1,LOW
REAL_WQ_37,Andhra Pradesh,Alluri,Sita,Rama Raju Peddabayalu Peddabayalu,82.5898,18.2878,2024,Pre-Monsoon,Pre-Monsoon,7.14,362.0,193.0,36.0,45.0,2.0,0.01,121.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.05,0,26.3,0.33,0.0,0.48,0.25,0.35,0.21,LOW
REAL_WQ_38,Andhra Pradesh,Alluri,Sita,Rama Raju Rajahmundry(U) Rajmundry Swarajyanagar 2013DW,81.7778,16.9997,2024,Pre-Monsoon,Pre-Monsoon,7.48,1201.0,791.0,96.0,18.0,73.0,0.01,426.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.114,0,26.8,0.33,0.05,0.48,0.25,0.35,0.06,LOW
REAL_WQ_39,Andhra Pradesh,Alluri,Sita,Rama Raju Rajavommangi Lagarai-DW14,82.1956,17.5761,2024,Pre-Monsoon,Pre-Monsoon,7.71,618.0,370.0,39.0,62.0,43.0,0.01,161.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.05,0,28.3,0.33,0.08,0.48,0.25,0.35,0.21,LOW
REAL_WQ_40,Andhra Pradesh,Alluri,Sita,Rama Raju Rampachodavaram Folkspeta-DW13,81.8397,17.305,2024,Pre-Monsoon,Pre-Monsoon,7.35,1555.0,958.0,94.0,36.0,90.0,0.1,606.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.106,0,27.6,0.33,0.08,0.48,0.25,0.35,0.08,LOW
REAL_WQ_41,Andhra Pradesh,Alluri,Sita,Rama Raju Rampachodavaram Rampachodavaram,81.7777,17.4388,2024,Pre-Monsoon,Pre-Monsoon,7.12,752.0,407.0,76.0,65.0,27.0,0.01,244.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.053,0,28.6,0.33,0.09,0.48,0.25,0.35,0.21,LOW
REAL_WQ_42,Andhra Pradesh,Alluri,Sita,Rama Raju Rampachodavaram Sitapalli,81.8333,17.3558,2024,Pre-Monsoon,Pre-Monsoon,7.5,765.0,438.0,57.0,3.0,4.0,0.01,207.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.124,0,25.5,0.33,0.0,0.48,0.25,0.35,0.04,LOW
REAL_WQ_43,Andhra Pradesh,Alluri,Sita,Rama Raju Y.Ramavaram Chaviti Tibalu-DW14,81.9856,17.6269,2024,Pre-Monsoon,Pre-Monsoon,7.0,1178.0,752.0,124.0,103.0,76.0,0.02,426.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.025,0,33.9,0.33,0.29,0.48,0.25,0.35,0.27,MODERATE
REAL_WQ_44,Andhra Pradesh,Anakapalli,Actchutpuram,Pudimadaka,83.0114,17.5082,2024,Pre-Monsoon,Pre-Monsoon,7.2,1086.0,713.0,97.0,21.0,43.0,0.9,224.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.096,0,26.7,0.33,0.04,0.48,0.25,0.35,0.1,LOW
REAL_WQ_45,Andhra Pradesh,Anakapalli,ANAKAPALLE,Anakapalli,83.0,17.6947,2024,Pre-Monsoon,Pre-Monsoon,7.39,3780.0,2130.0,615.0,24.0,301.0,1.35,713.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.003,0,33.1,0.33,0.25,0.48,0.25,0.35,0.33,MODERATE
REAL_WQ_46,Andhra Pradesh,Anakapalli,KOTAURATLA,Kotauratla,82.6917,17.5592,2024,Pre-Monsoon,Pre-Monsoon,7.63,1390.0,938.0,145.0,43.0,93.0,1.09,329.0,,,,872.3,IMD All-India Monsoon Series,2021.0,5919303.0,National Reported Water-Borne Disease Total,Rajya Sabha Unstarred Question No. 557,2021.0,CGWB Ground Water Quality Data (2024),2024.0,PARTIAL,REAL_PUBLIC_SOURCE,-0.07,-0.29,-0.095,0,27.6,0.33,0.07,0.48,0.25,0.35,0.11,LOW
